City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
65,carutapera,-1.195,-46.02,25.660000000000025,82,75,3.45,BR,1699950882
66,kodiak,57.79,-152.4072,4.730000000000018,65,20,5.66,US,1699950819
67,utrik,11.2278,169.8474,28.08000000000004,81,98,7.57,MH,1699950884
68,shar,49.5886,81.0453,5.660000000000025,63,95,1.85,KZ,1699950885
69,igarka,67.4667,86.5833,-21.94999999999999,93,41,1.59,RU,1699950886
70,mujiayingzi,42.1167,118.7833,-1.9699999999999704,73,10,2.62,CN,1699950886
71,najran,17.4924,44.1277,25.360000000000014,28,47,3.3,SA,1699950887
72,puerto natales,-51.7236,-72.4875,-0.7599999999999909,97,89,3.0,CL,1699950885
73,georgetown,5.4112,100.3354,31.640000000000043,74,20,4.63,MY,1699950837
74,huangnihe,43.5583,128.0239,-6.739999999999952,92,4,1.56,CN,1699950889
75,invercargill,-46.4,168.35,9.450000000000045,75,82,7.15,NZ,1699950890
76,winnemucca,40.973,-117.7357,7.900000000000034,28,5,1.45,US,1699950891
77,kerema,-7.9631,145.7785,25.670000000000016,82,33,2.49,PG,1699950892
78,punta arenas,-53.15,-70.9167,0.060000000000002274,74,20,3.6,CL,1699950893
79,roxas,11.5853,122.7511,27.860000000000014,85,100,5.02,PH,1699950894
80,olonkinbyen,70.9221,-8.7187,-1.579999999999984,76,99,3.57,SJ,1699950894
81,broken hill,-31.95,141.4333,25.100000000000023,31,83,2.01,AU,1699950895
82,karatuzskoye,53.6072,92.8667,-0.3499999999999659,82,100,5.36,RU,1699950896
83,mazagao,-0.115,-51.2894,27.03000000000003,97,100,1.87,BR,1699950898
84,nolinsk,57.5596,49.9363,5.800000000000011,78,100,5.91,RU,1699950742
85,may pen,17.9645,-77.2451,27.560000000000002,91,4,2.17,JM,1699950900
86,oum hadjer,13.2954,19.6966,35.28000000000003,27,53,5.64,TD,1699950901
87,polyarnyy,69.1989,33.4478,-8.639999999999986,97,100,2.14,RU,1699950902
88,hadibu,12.65,54.0333,28.77000000000004,74,41,5.77,YE,1699950903
89,jaen,38.0,-3.5,16.060000000000002,53,74,1.08,ES,1699950903
90,rajgarh,28.6333,75.3833,27.08000000000004,19,100,1.42,IN,1699950904
91,ribeira brava,32.65,-17.0667,20.07000000000005,76,78,1.25,PT,1699950905
92,cidade velha,14.9167,-23.6167,26.260000000000048,50,0,7.2,CV,1699950906
93,yeppoon,-23.1333,150.7333,27.879999999999995,74,0,5.95,AU,1699950907
94,burang,30.25,81.1667,2.32000000000005,41,86,3.46,CN,1699950908
95,tazovsky,67.4667,78.7,-17.060000000000002,97,65,4.47,RU,1699950742
96,i-n-salah,27.1935,2.4607,23.760000000000048,29,0,8.87,DZ,1699950909
97,san felice circeo,41.2372,13.0942,18.840000000000032,99,30,3.28,IT,1699950910
98,vylkove,45.4021,29.586,12.730000000000018,50,22,7.21,UA,1699950911
99,solaro,44.8799,9.1732,15.340000000000032,86,100,0.76,IT,1699950912
100,maintirano,-18.0667,44.0167,28.680000000000007,59,0,6.93,MG,1699950913
101,fale old settlement,-9.3852,-171.2468,28.379999999999995,75,95,1.99,TK,1699950914
102,klyuchi,52.2667,79.1667,6.32000000000005,65,92,3.99,RU,1699950914
103,ad dawadimi,24.5077,44.3924,26.640000000000043,30,100,7.09,SA,1699950915
104,virac,13.6333,124.2167,23.090000000000032,88,100,5.2,PH,1699950916
105,albany,42.6001,-73.9662,2.670000000000016,91,81,2.25,US,1699950917
106,kyzyl-suu,42.3414,78.0056,4.080000000000041,59,0,0.77,KG,1699950918
107,dudinka,69.4058,86.1778,-17.98999999999998,96,100,4.41,RU,1699950858
108,el calafate,-50.3408,-72.2768,0.410000000000025,79,49,2.88,AR,1699950919
109,kalmunai,7.4167,81.8167,27.160000000000025,84,99,6.85,LK,1699950920
110,hamilton,39.1834,-84.5333,7.740000000000009,63,0,0.0,US,1699950727
111,matadi,-5.8167,13.45,29.75,73,98,1.51,CD,1699950922
112,fort bragg,35.139,-79.006,9.520000000000039,76,0,1.54,US,1699950922
113,alice springs,-23.7,133.8833,36.75,13,75,2.57,AU,1699950630
114,geraldton,-28.7667,114.6,24.230000000000018,64,15,6.69,AU,1699950685
115,warin chamrap,15.1932,104.8628,31.900000000000034,58,40,4.63,TH,1699950925
116,nemuro,43.3236,145.575,3.490000000000009,55,14,4.88,JP,1699950926
117,fukuecho,32.6881,128.8419,13.200000000000045,62,75,2.57,JP,1699950926
118,mount isa,-20.7333,139.5,36.870000000000005,19,2,5.14,AU,1699950654
119,khandyga,62.6667,135.6,-30.47999999999999,100,23,1.4,RU,1699950929
120,ispir,40.4829,40.9956,12.29000000000002,77,100,2.48,TR,1699950930
121,papatowai,-46.5619,169.4708,7.640000000000043,81,72,7.62,NZ,1699950931
122,gadzhiyevo,69.2551,33.3362,-9.279999999999973,97,100,2.35,RU,1699950931
123,kidal,18.4411,1.4078,28.83000000000004,12,0,8.23,ML,1699950932
124,saudarkrokur,65.7461,-19.6394,-1.079999999999984,79,11,4.05,IS,1699950934
125,medina,24.4686,39.6142,28.24000000000001,24,75,1.54,SA,1699950834
126,loboc,9.6383,124.0348,28.010000000000048,83,45,2.08,PH,1699950936
127,phan rang-thap cham,11.5667,108.9833,30.05000000000001,63,93,5.7,VN,1699950936
128,kristiansund,63.1115,7.732,0.36000000000001364,69,0,2.06,NO,1699950917
129,filingue,14.3521,3.3168,30.629999999999995,10,10,5.45,NE,1699950938
130,saurimo,-9.6608,20.3916,24.689999999999998,69,96,2.39,AO,1699950939
131,heber city,40.5069,-111.4132,10.640000000000043,37,23,0.89,US,1699950939
132,saldanha,-33.0117,17.9442,32.03000000000003,42,69,3.09,ZA,1699950940
133,port mathurin,-19.6833,63.4167,25.850000000000023,75,15,3.27,MU,1699950941
134,jamestown,42.097,-79.2353,6.770000000000039,74,100,6.17,US,1699950894
135,caleta de carquin,-11.0925,-77.6267,18.970000000000027,90,99,4.19,PE,1699950943
136,qamdo,31.1667,97.2333,5.240000000000009,22,53,2.81,CN,1699950944
